scene_id,start,end,visual_type,asset_ref,notes
S01,0,29,stock_video,04_assets/s01_b_roll_01.mp4,Hook And Stakes primary visual (0s-29s)
S02,29,38.67,generated_graphic,04_assets/charts/s02_fact_card_01.svg,The Legitimate Business Model explainer card
S02,38.67,48.33,generated_graphic,04_assets/s02_generated_graphic_01.svg,The Legitimate Business Model primary visual (29s-58s)
S02,48.33,58,map,04_assets/s02_map_01.svg,The Legitimate Business Model location context
S03,58,70,generated_graphic,04_assets/charts/s03_fact_card_01.svg,How The Money Works explainer card
S03,70,82,generated_graphic,04_assets/s03_generated_graphic_01.svg,How The Money Works primary visual (58s-82s)
S04,82,110,stock_video,04_assets/s04_b_roll_01.mp4,Where Pressure Enters primary visual (82s-110s)
S05,110,119.33,generated_graphic,04_assets/charts/s05_fact_card_01.svg,Evidence Gap And Public Cases explainer card
S05,119.33,128.67,document,04_assets/documents/s05_source_card_01.mp4,Evidence Gap And Public Cases primary visual (110s-138s)
S05,128.67,138,document,04_assets/documents/s05_public_doc_01.png,public case evidence card
S06,138,150,generated_graphic,04_assets/charts/s06_fact_card_01.svg,Warning Signs For Viewers explainer card
S06,150,162,document,04_assets/documents/s06_source_card_01.mp4,Warning Signs For Viewers primary visual (138s-162s)
S07,162,169,generated_graphic,04_assets/charts/s07_fact_card_01.svg,Final Takeaway explainer card
S07,169,176,generated_graphic,04_assets/s07_generated_graphic_01.svg,Final Takeaway primary visual (162s-183s)
S07,176,183,map,04_assets/s07_map_01.svg,Final Takeaway location context
